Question,Answer
Отказ в приеме документов,"Основаниями для отказа в приеме документов, необходимых для оформления льготы, являются:Представление заявления и иных документов, необходимых для предоставления льготы, не соответствующих требованиям, установленным правовыми актами Российской Федерации, правовыми актами города МосквыПредставление документов, утративших силу, в случаях, когда срок действия установлен в таких документах или предусмотрен законодательством Российской Федерации, правовыми актами города МосквыПредставление неполного комплекта документов, указанных, в качестве документов, подлежащих обязательному представлению заявителемПредставление заявителем документов, содержащих недостоверные и (или) противоречивые сведенияПри отсутствии необходимых сведений для оформления льготы в информационной системе Общегородского регистра получателей мер социальной поддержки (применимо только к льготе по категории многодетная семья)"
Какие документы необходимы для оформления/продления/переоформления льготы?,"Для оформления льготы необходимо представить следующие документы:Документ удостоверяющий личность заявителя (Паспорт);Пенсионное удостоверение (для отдельных категорий граждан);Документы, подтверждающие право заявителя и (или) членов его семьи на льготу по оплате за электроэнергию (Паспорт, свидетельство о рождении, справку МСЭ, удостоверение «Ветеран труда», справку, выдаваемую органами опеки и попечительства или руководителем воспитательного учреждения и т.д.);Страховой номер индивидуального лицевого счета (СНИЛС);Единый Жилищный Документ;Текущие показания счетчика (на день обращения)Документ, удостоверяющий личность представителя заявителя;Документ, подтверждающий полномочия представителя заявителя, в случае обращения представителя заявителя (при обращении лица, уполномоченного заявителем в установленном порядке, - доверенность в простой письменной форме либо нотариально удостоверенная доверенность или доверенность, приравненная к нотариально удостоверенной в соответствии с гражданским законодательством Российской Федерации)Все документы должны быть представлены в оригинале или копии.Обращаем Ваше внимание, что для получения льготы по категории многодетная семья предоставление выше указанных документов не требуется. Льгота оформляется на основании документа, удостоверяющего личность заявителя и СНИЛС. Право на получение льготы в данном случае подтверждается на основании запроса сотрудника АО «Мосэнергосбыт», направляемого к информационной системе Общегородского регистра получателей мер социальной поддержки.Ознакомиться с перечнем льготных категорий можно в Постановлении:Правительства Москвы от 07.12.2004г. № 850-ПП «О порядке и условиях обеспечения мер социальной поддержки граждан по оплате жилья и коммунальных услуг» в редакции действующей на дату обращенияКак рассчитываются льготы можно посмотреть здесь."
Как закрыть льготу?,"Порядок закрытия льготы определяется в зависимости от причины ее закрытия:При переезде льготника льгота закрывается по сообщению льготника или его законного представителя.В случае оформления льготы по новому адресу (при предоставлении всех документов), по прежнему месту жительства льгота закрывается по сообщению льготника или его законного представителя.В случае смерти льготника, родственникам необходимо предоставить свидетельство о смерти.Сделать это можно одним из удобных способов:Самостоятельно в Едином личном кабинете клиента во вкладке «Льготы»;Воспользоваться терминалом видеосвязи (Автоматизированная система «Видеоконсультант») с оператором Контактного центра, установленным в МФЦ. Часы работы: Пн-Пт с 08:30 до 20:00.Обратиться в Контактный центр по телефону +7 (499) 550-9-550 (ежедневно с 08:30 до 20:30).Внимание! При обращении необходимо предоставить показания прибора учета на день обращения. В случае обращения по причине смерти льготника родственникам или законному представителю необходимо предоставить следующие данные: ФИО, дату смерти, номер свидетельства о смерти, кем и где выдано свидетельство о смерти, а также показания прибора учета на момент обращения."
Как оформить льготу в Московской области?,"В соответствии с законом Московской области от 23 марта 2006 г. № 36/2006-ОЗ «О социальной поддержке отдельных категорий граждан в Московской области», принятым постановлением Московской областной Думы от 15 марта 2006 г. № 5/171-П, регистрация льгот в Московской области не производится, оплата за потребленную электроэнергию производится в полном объеме согласно действующим тарифам. По вопросу возмещения льгот необходимо обращаться в отделение социальной защиты Вашего муниципального района."
Льгота 50% от расхода,"Льгота, предусматривающая скидку 50% от расхода электроэнергии, распространяется на весь расход электроэнергии в квартире, вне зависимости от количества проживающих совместно с льготником. Данный вид льготы не суммируется с другими льготами."
Льгота 50% (30%) от норматива,"В соответствии с Постановлением Правительства г. Москвы от 20 декабря 1994 г. № 1161 для граждан, имеющих право на пользование льготой в пределах норматива потребления, установлены следующие нормативные величины:Одинокие граждане, проживающие в квартире, оборудованной:Газовой плитой - 50 кВт·чЭлектрической плитой - 80 кВт·чСемейные граждане, проживающие в квартире, оборудованной:Газовой плитой - 45 кВт·чЭлектрической плитой - 70 кВт·чНорматив установлен на месяц.Если объем электроэнергии, потребленный в расчетном периоде, больше льготного норматива, то скидка в 50% предоставляется на объем в пределах норматива потребления, а оставшиеся часть оплачивается в размере 100% от тарифа.Если в первой части календарного месяца абонент не в полном объеме использовал полагающийся ему льготный норматив, то остаток будет предоставлен во второй части данного календарного месяца, т.е. в счете за следующий расчетный период. Если величина льготного норматива в первой части календарного месяца использована в полном объеме, то на оставшуюся часть расхода данного календарного месяца, относящуюся к следующему расчетному периоду, нормативная льгота не начисляется.При наличии на счете 2-х и более нормативных льгот, при расчете норматив суммируется."
Льгота 100 % от расхода,"Граждане, которым предусмотрена скидка в размере 100% от расхода по оплате электроэнергии, освобождаются от оплаты за потребленную электроэнергию. Льгота может распространяться как на одного льготника (от оплаты за электроэнергию освобождается только та часть расхода, которая приходится на льготника), так и на льготника с учетом членов его семьи. С перечнем льготных категорий граждан, которым полагается данная льгота можно ознакомиться в Постановлении Правительства Москвы от 07.12.2004г. № 850-ПП «О порядке и условиях обеспечения мер социальной поддержки граждан по оплате жилья и коммунальных услуг»."
Расчет льготы от расхода электроэнергии - однотарифный прибор учета,"Условие:Льгота 50% от расхода электроэнергии;ПУ однотарифный;Расчет:Расход ЭЭ× тариф = сумма к оплате×0,5(льготный коэффициент) = сумма к оплате (с учетом льготы)"
Расчет льготы от расхода электроэнергии - многотарифный прибор учета,"Условие:Льгота 50% от расхода электроэнергии;Многотарифный прибор учета (трехтарифный);Расчет:Расход ЭЭ по Т1× тарифт1= сумма к оплате пот1×0,5(льготный коэффициент) = сумма к оплате (с учетом льготы)Расход ээ по Т2× тарифт2= сумма к оплате по Т2 ×0,5(льготный коэффициент) = сумма к оплате (с учетом льготы)Расход ЭЭ по Т3 × тарифт3= сумма к оплате по Т3 ×0,5(льготный коэффициент) = сумма к оплате (с учетом льготы)Итоговая сумма к оплате = сумма к оплате (с учетом льготы) по Т1+сумма к оплате (с учетом льготы) по Т2+сумма к оплате (с учетом льготы) по Т3"
" Расчет льготы по нормативу - однотарифный прибор учёта, когда расход больше установленного норматива","Условие:Однотарифный прибор учета;Одинокий ветеран труда (50% от норматива);Норматив 80 кВт·ч;Электрическая плита;Расход 135 кВт·ч;Тариф 3,28 руб.;Расчет:Из 135 кВт·ч льгота распространяется только на 80 кВт·ч, оставшийся расход 55 кВт·ч рассчитывается по полной стоимости.80×3,28=269,40 сумма к оплате×0,5(льготный коэффициент) =131,20 руб. сумма к оплате (с учетом льготы)55×3,28=180,40 руб.Итого к оплате с учетом льготы 131,20+180,40=311,60 руб."
"Расчет льготы по нормативу - однотарифный прибор учёта, когда расход меньше установленного норматива","Распределение льготного норматива, приходящегося на календарный месяц, осуществляется в следующем порядке: первоначально льготный норматив максимально распределяется на объем, потребленный за период с 1-го числа календарного месяца до даты окончания расчета в расчетном периоде (дата, на которую сформирован счет) по всем зонам суток, в соответствии с типом учета, установленном на квартире бытового потребителя. Если льготный норматив за указанный период использован не в полном объеме (фактическое потребление меньше величины льготного норматива), то остаток распределяется на объем, потребленный с даты окончания расчета в расчетном периоде до конца календарного месяца.Если в первой части календарного месяца абонент не в полном объеме использовал полагающийся ему льготный норматив, то остаток будет предоставлен во второй части данного календарного месяца, т.е. в счете за следующий расчетный период."
"Расчет льготы по нормативу - многотарифный прибор учёта, когда расход больше установленного норматива","Условие:Многотарифный прибор учета (трехтарифный);Ветеран труда, проживает с семьей;Норматив 45 кВт·ч;Газовая плита;Расход Т1 – 100 кВт·ч; Т2 – 52 кВт·ч; Т3 – 73 кВт·ч;Тариф Т1 – 4,92 руб.; Т2 – 1,26 руб.; Т3 – 4,08 руб.;Расчет:Так как расход по зоне суток Т1 =100 кВт·ч, из них 45 кВт·ч рассчитываем с учетом льготного коэффициентаТ1(с учетом льготы)=45×4,92=221,40 сумма к оплате×0,5 (льготный коэффициент) =110,70 руб. сумма к оплате (с учетом льготы)Оставшийся расход 55 кВт·ч рассчитываем по полной стоимостиТ1=55×4,92=270,60 руб.Объем льготного норматива полностью учтен по тарифной зоне суток Т1, по остальным зонам суток (Т2 и Т3) расчет производится по полной стоимостиТ2=52 × 1,26 = 65,52 руб.Т3=73 × 4,08 = 297,84 руб.Итого к оплате с учетом льготы по зонам суток110,70+270,60+65,52+297,84=744,66 руб."
"Расчет льготы по нормативу - многотарифный прибор учёта, когда расход по одной из зон суток меньше установленного норматива","Распределение льготного норматива, приходящегося на календарный месяц, осуществляется в следующем порядке: первоначально льготный норматив максимально распределяется на объем, потребленный за период с 1-го числа календарного месяца до даты окончания расчета в расчетном периоде (дата, на которую сформирован счет) по всем зонам суток, в соответствии с типом учета, установленном на квартире бытового потребителя. Если льготный норматив за указанный период использован не в полном объеме (фактическое потребление меньше величины льготного норматива), то остаток распределяется на объем, потребленный с даты окончания расчета в расчетном периоде до конца календарного месяца.Если в первой части календарного месяца абонент не в полном объеме использовал полагающийся ему льготный норматив, то остаток будет предоставлен во второй части данного календарного месяца, т.е. в счете за следующий расчетный период."
"Расчет льготы по нормативу - однотарифный прибор учёта, льгота по многодетности, когда расход меньше установленного норматива","Распределение льготного норматива, приходящегося на календарный месяц, осуществляется в следующем порядке: первоначально льготный норматив максимально распределяется на объем, потребленный за период с 1-го числа календарного месяца до даты окончания расчета в расчетном периоде (дата, на которую сформирован счет) по всем зонам суток, в соответствии с типом учета, установленном на квартире бытового потребителя. Если льготный норматив за указанный период использован не в полном объеме (фактическое потребление меньше величины льготного норматива), то остаток распределяется на объем, потребленный с даты окончания расчета в расчетном периоде до конца календарного месяца.Если в первой части календарного месяца абонент не в полном объеме использовал полагающийся ему льготный норматив, то остаток будет предоставлен во второй части данного календарного месяца, т.е. в счете за следующий расчетный период."
"Расчет льготы по нормативу - однотарифный прибор учёта, льгота по многодетности, когда расход больше норматива","Условие:Однотарифный прибор учета;Многодетная семья из 5-ти человек;Норматив: 5×45=225 кВт·ч;Газовая плита;Расход 253 кВт·ч;Тариф 4,68 руб.;Расчет:Скидка по данной категории льгот составляет 30% от норматива, величина норматива рассчитывается исходя из количества человек пользующихся льготой.Так как расход=253 кВт·ч (больше установленного норматива), из них 225 кВт·ч рассчитываем с учетом льготы, а оставшийся расход 28 кВт·ч по полной стоимости225×4,68=1053 сумма к оплате×0,7 (льготный коэффициент) =737,10 руб.  сумма к оплате (с учетом льготы)28×4,68=131,04 руб.Итого к оплате с учетом льготы 737,10+131,04=868,14 руб."
"Расчет льготы по нормативу - многотарифный прибор учёта, льгота по многодетности","Условие:Многотарифный прибор учета (трехтарифный);Норматив: 6×70=420 кВт·ч;Электрическая плита;Расход: Т1 – 174 кВт·ч; Т2 – 85 кВт·ч; Т3 – 189 кВт·ч;Тариф: Т1 – 3,45 руб.;  Т2 – 0,88 руб.; Т3 – 2,85 руб.;Расчет:Скидка по данной категории льгот составляет 30% от норматива, величина норматива рассчитывается исходя из количества человек пользующихся льготой.Расход по зоне суток Т1 рассчитываем с учетом льготыВ расчете применяется льготный коэффициент к начисленной сумме (в данном случае 0,7, так как скидка по льготе 30% от норматива)Т1=174×3,45=600,30 сумма к оплате×0,7 (льготный коэффициент) =420,21 руб. сумма к оплате (с учетом льготы)Рассчитываем, сколько льготных квт·ч осталось при произведенном расчете по зоне суток Т1420 (установленный норматив) – 174 (учтенный норматив) =246 кВт·ч  (оставшийся не учтенный норматив)Так как льгота не учтена в полном объеме по тарифной зоне суток Т1, расчет производится по зоне суток Т3Т3=189×2,85=538,65 сумма к оплате×0,7 (льготный коэффициент) =377,06 руб. сумма к оплате (с учетом льготы)Рассчитываем, сколько еще осталось льготных кВт·ч при произведенном расчете по зоне суток Т3246 (оставшийся не учтенный норматив по Т1) -189 (учтенный норматив по Т3) =57 кВт·ч (оставшийся норматив)Расход по зоне суток Т2 = 85 кВт·ч, больше, чем остаток льготного норматива, поэтому из всего расхода по зоне суток Т2, 57 кВт·ч рассчитывается с учетом льготы (льготного коэффициента), а оставшийся расход 28 кВт·ч по полной стоимости.Т2=57×0,88=50,16 сумма к оплате×0,7 (льготный коэффициент)=35,11 руб. сумма к оплате (с учетом льготы)Т2=28×0,88=24,64 руб.Итого сумма оплаты с учетом льготы 420,21+337,06+59,75=817,02 руб."
Почему не поступила оплата по Лицевому счёту?,"Оплата зачисляется на лицевой счет в срок от 3 до 5 рабочих дней, в зависимости от места совершения платежа и способа оплаты. Если оплата не поступила на лицевой счёт и прошло более 5 рабочих дней, рекомендуем обратиться по месту оплаты. После подтверждения о перечислении оплаты на счет АО «Мосэнергосбыт» необходимо оформить заявку на розыск платежа любым удобным способом:Направить обращение в Личном кабинете клиента с вложением документа, подтверждающего оплату;Обратиться  в Контактный центр по телефону +7 (499) 550-9-550 (ежедневно с 08:30 до 20:30):В  любое отделение АО «Мосэнергосбыт».Поступившие платежи можно просмотреть в Личном кабинете клиента во вкладке «История» - «Оплата»."
Какие есть способы оплаты электроэнергии?,"Оплату за электроэнергию можно производить любым удобным способом:В Личном кабинете клиента во вкладке «Оплатить»;На сайте АО «Мосэнергосбыт» (банковской картой);С помощью мобильного телефона(банковской картой);С использованием услуги автоматический платеж;Через социальные сети ВКонтакте и Facebook;Через оператора Контактного центра по телефону +7 (499) 550-9-550 (банковской картой (ежедневно с 08:30 до 20:30));С электронных кошельков (Элекснет, QIWI);Через терминалы самообслуживания;Через терминалы самообслуживания, установленные в отделениях АО «Мосэнергосбыт»;В любом отделении банка.Внимание! Оплаты через терминалы, установленные в офисах АО «Мосэнергосбыт», производятся только наличными денежными средствами."
Как получить квитанцию на оплатуэлектроэнергии?,"Рекомендуем оформить подписку на рассылку платёжных документов на адрес электронной почты. Данный сервис позволит оперативно получать платёжные документы в электронной форме и исключить необходимость получения счетов на бумажном носителе. Подключить данный сервис можно в  Личном кабинете клиента или при обращении в Контактный центр по телефону +7 (499) 550-9-550 (ежедневно с 08:30 до 20:30).Счет на оплату электроэнергии направляется ежемесячно, до 10-го числа по адресу лицевого счета или на альтернативный адрес.Квитанцию с подробной детализацией расчета можно сформировать и распечатать в Личном кабинете клиента, также в Личном кабинете клиента можно распечатать квитанцию на оплату текущего баланса.Чистые бланки квитанций можно распечатать на сайте АО «Мосэнергосбыт»."
Как получить подтверждение произведенного платежа?,"Подтверждением произведенного платежа является оплаченная квитанция, чек терминала и т.д. Проверить поступление оплаты можно самостоятельно в Личном кабинете клиента во вкладке «История» - «Оплата»."
Когда необходимо передавать показания прибора учёта?,"Передавать показания прибора учёта можно ежемесячно, в период с 15 по 26 число включительно.В случае если показания не были переданы, в соответствии с Постановлением Правительства РФ № 354 от 06.05.2011 г. И №344 от 16.04.2013 г., счёт на оплату будет сформирован на основании среднемесячного объёма потребления."
Какие существуют способы передачи показаний?,"Передать показания Вы можете любым удобным для Вас способом:через Личный кабинет частного клиента на сайте АО «Мосэнергосбыт»; через чат-бота: на сайте АО «Мосэнергосбыт»на платформе Яндекс.Алиса. Для этого необходимо активировать голосовую команду, воспользовавшись ключевой фразой: «Запусти навык «Мосэнергосбыт», и далее следовать инструкции голосового помощника.в сети «ВКонтакте» по ссылке Начать диалог с чат-ботом в соц.сети «ВКонтакте»в Telegram по ссылке https://t.me/mes_telegram_botв Viber-канале. Для поиска Помощника-консультанта отсканируйте QR-код: или по ссылке https://chats.viber.com/mosenergosbytпо телефону Контактного центра АО «Мосэнергосбыт»: +7 (499) 550-88-99 через сервис голосового управления;на портале госуслуг г.Москвы.через терминалы для приема показаний, установленных в отделениях  АО «Мосэнергосбыт» и Многофункциональных центрах предоставления государственных и муниципальных услуг «Мои документы»;при оплате через терминалы Qiwi и Сбербанк (при условии совершения платежа в период с 15-го по 26 число)."
Как пользоваться сервисом Голосового управления?,"При обращении в Контактный центр по телефону +7 (499) 550-9-550 можно самостоятельно, не дожидаясь ответа оператора, передать показания прибора учёта или получить нужную информацию. Для этого в голосовом меню после вопроса «Скажите, что Вас интересует?» необходимо произнести свой вопрос. Ознакомиться с инструкцией по работе голосового сервиса можно на сайте АО «Мосэнергосбыт».Внимание! Номер лицевого счёта и показания прибора учёта необходимо называть строго по одной цифре. Допускается ввод данных с помощью клавиш телефонного аппарата. Для прохождения автоматической идентификации рекомендуем в Личном кабинете клиента привязать номер вашего телефона к Лицевому счёту."
"Как будет произведен расчет, если показания не были переданы?","В случае если в расчётном периоде не поступили показания прибора учёта, счёт на оплату будет сформирован на основании среднемесячного объёма потребления. При передаче показаний в следующем месяце производится перерасчёт с учётом фактических показаний прибора учёта."
Как рассчитывается оплата за электроэнергию?,"Сумма к оплате рассчитывается одним из следующих способов:На основании переданных Вами показаний прибора учёта; При условии, что показания счетчика были переданы в период с 15 по 26 число включительноНа основании показаний прибора учёта, снятых сотрудниками АО «Мосэнергосбыт»;Контрольное снятие показаний производится сотрудником АО «Мосэнергосбыт» 2 раза в год.При отсутствии показаний в расчётном периоде сумма к оплате рассчитывается на основании среднемесячного объёма потребления;При отсутствии информации о среднемесячном объёме потребления расчёт производится на основании норматива потребления."
Можно ли самостоятельно заполнять квитанции?,"Квитанции можно заполнять самостоятельно по показаниям прибора учёта, и в случае своевременной оплаты Вы не будете иметь задолженность перед АО «Мосэнергосбыт». Главное - соблюдать сроки оплаты."
"Где можно посмотреть показания прибора учёта, по которым производился расчёт?","Показания можно посмотреть в Личном кабинете клиента во вкладке «История» - «Показания» или в квитанции, которая направляется ежемесячно."
"Как производить оплату, если по Лицевому счету указана переплата?","Переплату, образовавшуюся на Лицевом счете, можно учесть в счёт будущих платежей, при условии, если расчёт потреблённой электроэнергии произведён по фактическим показаниям прибора учёта, переданных вами или снятых сотрудниками АО «Мосэнергосбыт»."
Почему по Лицевому счёту не учтена оплата?,"При поступлении оплаты после даты формирования счёта, платёж будет учтен в следующем расчётном периоде. Оплата зачисляется на лицевой счет в срок от 3 до 5 рабочих дней, в зависимости от места совершения платежа и способа оплаты."
Что такое ОДН и как производится расчёт?,"ОДН - общедомовые нужды. В каждый многоквартирный дом поступает определенное количество коммунальных ресурсов, основная доля которых потребляется жильцами. Некоторая же часть ресурсов идет на обслуживание дома и содержание общедомового имущества. Оплачиваются не только коммунальные услуги внутри квартиры, но и коммунальные услуги, идущие на общедомовые нужды.В сумму ОДН по электроэнергии могут входить затраты на:Освещение мест общего пользования (лестничных площадок, тамбуров и приподъездной территории);Энергию, потребляемую домофонами;Энергию, потребляемую лифтами;Энергию, потребляемую иным электрооборудованием; Использующимся в общедомовых нуждах (например, видеокамеры наблюдения, насосы, подкачивающие воду на верхние этажи, система автоматического регулирования тепла и др).У каждого многоквартирного дома набор электрооборудования индивидуален. Расчёт потребленной электроэнергии на ОДН производится в соответствии с Постановлением Правительства РФ № 354 от 06.05.2011 г. П.44:На основании показаний коллективных приборов учёта;Расход за ОДН определяется как разница между расходом определенным коллективным прибором учёта и суммарным расходом жилых и нежилых помещений, далее делится на суммарную площадь таких помещений, а затем умножается на индивидуальную площадь каждого из них.При отсутствии общедомового прибора учета расчёт производится по нормативу. В случае если расход электроэнергии на ОДН определяется исходя из норматива ОДН, то величина, полученная путем умножения норматива на ОДН и площади помещений, входящих в состав общего имущества в многоквартирном доме, делится на суммарную площадь помещений, а затем умножается на индивидуальную площадь каждого из них."
Почему расход электроэнергии на ОДН ежемесячно меняется и как добиться снижения суммы на ОДН?,"Величина расхода электроэнергии на ОДН является расчётной и зависит от нескольких факторов и может меняться каждый месяц.Расход на ОДН зависит от таких факторов, как:Интенсивность работы электрооборудования, установленного на ОДН;Регулярность передачи жителями дома индивидуальных показаний приборов учёта в АО «Мосэнергосбыт» (если не передаются показания, то расчёт формируется исходя из рассчитанного среднемесячного объёма потребления, а при передаче или снятии показаний в последующем расчётном периоде, будет произведен перерасчёт объёма потребления по фактическим данным);Отсутствие безучётного и/или бездоговорного потребления;Техническое состояние внутридомовой проводки (электропроводка в старых домах может быть изношена и это увеличивает технологические потери электроэнергии во внутридомовых сетях);Оснащённость жилых помещений исправными приборами учёта."
Почему объем ОДН между всеми потребителями распределяется пропорционально размеру общей площади принадлежащего им жилого и нежилого помещения?,"Расчёт производится в соответствии с правилами предоставления коммунальных услуг утвержденных Постановлением Правительства РФ №354 от 06.05.2011.Согласно Жилищному Кодексу РФ собственники квартир и нежилых помещений являются также собственника помещений, входящих в общее имущество дома, в доле, пропорциональной площади их квартир."
Влияет ли задолженность жителей на величину ОДН?,"Недоплата жителей дома не оказывает влияния на величину электропотребления на ОДН. Задолженность отдельных жителей не перекладывается на добросовестных потребителей. В расчет ОДН принимаются только начисленные суммы электропотребления, а не оплаченные."
Сроки передачи показаний жителей г. Королев,"Передавать показания прибора учёта жители г. Королев могут ежемесячно в период с 15 по 23 число включительно.В случае если показания не были переданы, в соответствии с Постановлением Правительства РФ № 354 от 06.05.2011 г. и №344 от 16.04.2013 г., счёт на оплату будет сформирован на основании среднемесячного объёма потребления"
Какие преимущества многотарифного прибора учета?,"Многотарифный прибор учёта обеспечивает дифференцированный учёт потребляемой электроэнергии в зависимости от времени суток. Сутки разделены на зоны, для каждой зоны установлен свой тариф на электроэнергию.Многотарифная система учёта предоставляет жителям возможность оплачивать потребление электроэнергии в ночные часы по тарифу, который примерно в четыре раза дешевле дневного, а в период действия тарифов «полупиковой зоны» экономия составляет примерно 25%. Дополнительной экономии можно достичь за счёт перераспределения на полупиковую и ночную тарифные зоны работы энергоёмких домашних бытовых приборов."
